pop_total,zip code tabulation area,pop_white,pop_black,pop_hispanic
474.0,45716,472.0,0.0,2.0
383.0,45740,383.0,0.0,0.0
415.0,45746,410.0,0.0,0.0
1623.0,45772,1623.0,0.0,0.0
150.0,45789,150.0,0.0,0.0
4905.0,45865,4787.0,32.0,9.0
23285.0,45805,17471.0,3415.0,1263.0
10605.0,45833,10095.0,58.0,328.0
1084.0,45849,1023.0,10.0,17.0
1864.0,45743,1783.0,52.0,19.0
3823.0,45760,3556.0,107.0,0.0
2489.0,45767,2471.0,0.0,0.0
1449.0,45768,1380.0,21.0,18.0
22688.0,45801,17216.0,3370.0,790.0
10608.0,45806,9647.0,393.0,234.0
1973.0,45812,1911.0,0.0,59.0
3212.0,45814,3156.0,10.0,27.0
1524.0,45862,1457.0,0.0,33.0
142.0,45866,142.0,0.0,0.0
11403.0,45875,10677.0,82.0,381.0
12741.0,45885,12238.0,22.0,69.0
1839.0,45896,1758.0,0.0,17.0
873.0,45898,846.0,0.0,2.0
6019.0,45651,5667.0,54.0,75.0
4120.0,45652,4064.0,5.0,10.0
1925.0,45657,1754.0,0.0,57.0
2574.0,45659,2561.0,13.0,0.0
6162.0,45663,6063.0,0.0,20.0
3699.0,45686,3547.0,22.0,12.0
2113.0,45724,1911.0,155.0,0.0
1562.0,45735,1492.0,60.0,0.0
1618.0,45745,1615.0,0.0,3.0
1159.0,45775,1140.0,0.0,19.0
163.0,45809,115.0,0.0,48.0
488.0,45820,461.0,0.0,20.0
53933.0,45013,50102.0,1870.0,607.0
66.0,45838,61.0,0.0,3.0
249.0,45033,249.0,0.0,0.0
1273.0,45034,1273.0,0.0,0.0
25142.0,45039,23266.0,533.0,439.0
3610.0,45113,3513.0,0.0,31.0
10511.0,45122,9808.0,42.0,242.0
23764.0,45133,22729.0,247.0,235.0
8994.0,45154,8559.0,58.0,84.0
73.0,45156,69.0,0.0,0.0
3773.0,45159,3391.0,294.0,51.0
5773.0,45204,3542.0,1579.0,154.0
3419.0,45850,3231.0,10.0,124.0
502.0,45886,452.0,0.0,13.0
488.0,45890,469.0,3.0,13.0
11714.0,45015,9164.0,542.0,1274.0
759.0,45001,561.0,59.0,71.0
43848.0,45014,31621.0,6096.0,3444.0
3667.0,45052,3500.0,6.0,77.0
4765.0,45065,4108.0,177.0,235.0
11402.0,45068,10938.0,17.0,327.0
9909.0,45107,9454.0,41.0,214.0
2750.0,45120,2615.0,0.0,50.0
8230.0,45810,7452.0,130.0,241.0
1186.0,45821,1154.0,0.0,26.0
705.0,45876,665.0,0.0,0.0
2314.0,45860,2206.0,13.0,95.0
207.0,45861,190.0,4.0,0.0
2008.0,45871,1892.0,52.0,24.0
478.0,45389,458.0,5.0,4.0
188.0,45888,188.0,0.0,0.0
5456.0,45387,4626.0,500.0,113.0
853.0,45388,848.0,3.0,1.0
25740.0,45429,22935.0,882.0,568.0
14818.0,45432,12926.0,719.0,472.0
32068.0,45458,26271.0,1809.0,585.0
19919.0,45505,15363.0,2654.0,826.0
1926.0,45634,1851.0,1.0,1.0
0.0,45642,0.0,0.0,0.0
499.0,45646,499.0,0.0,0.0
30289.0,45662,27377.0,1105.0,767.0
2093.0,45684,2093.0,0.0,0.0
1120.0,45685,1115.0,1.0,0.0
1019.0,45719,1013.0,6.0,0.0
401.0,45727,401.0,0.0,0.0
662.0,45741,662.0,0.0,0.0
12574.0,45213,5782.0,5657.0,681.0
11982.0,45223,5766.0,5398.0,452.0
21402.0,45224,8833.0,11314.0,275.0
15075.0,45243,13456.0,262.0,378.0
28602.0,45244,26279.0,353.0,1002.0
22502.0,45251,15389.0,5311.0,370.0
4336.0,45252,4072.0,99.0,55.0
2724.0,45303,2598.0,23.0,76.0
7084.0,45304,6881.0,21.0,77.0
14982.0,45320,14161.0,149.0,186.0
161.0,45336,158.0,0.0,3.0
3857.0,45341,3357.0,0.0,335.0
36659.0,45342,30628.0,2152.0,1040.0
142.0,45353,142.0,0.0,0.0
30232.0,45365,27209.0,1208.0,584.0
1287.0,45382,1245.0,0.0,22.0
14159.0,45403,10164.0,1480.0,2018.0
13519.0,45415,7730.0,4939.0,144.0
50804.0,45424,37474.0,7133.0,1707.0
28084.0,45431,22233.0,1316.0,1581.0
2734.0,45433,1617.0,581.0,278.0
12256.0,45434,11022.0,114.0,291.0
10185.0,45439,7965.0,1035.0,424.0
15779.0,45502,14952.0,347.0,31.0
32363.0,45503,27537.0,2196.0,549.0
3075.0,45623,3063.0,6.0,0.0
2855.0,45629,2626.0,130.0,28.0
2148.0,45877,2043.0,12.0,73.0
4298.0,45887,4118.0,25.0,42.0
14905.0,45891,13801.0,271.0,627.0
36.0,45897,36.0,0.0,0.0
1804.0,45153,1780.0,0.0,0.0
3700.0,45167,3630.0,39.0,0.0
4513.0,45169,4211.0,6.0,87.0
7133.0,45207,1804.0,4899.0,206.0
7232.0,45217,3848.0,2897.0,256.0
16025.0,45233,15383.0,177.0,220.0
30814.0,45215,18998.0,9408.0,815.0
54680.0,45044,42117.0,6015.0,3123.0
8773.0,45050,8231.0,371.0,72.0
686.0,45062,644.0,0.0,2.0
3060.0,45064,3020.0,3.0,20.0
4400.0,45144,4239.0,0.0,78.0
14970.0,45067,14091.0,315.0,481.0
9245.0,45121,8884.0,200.0,44.0
4705.0,45135,4499.0,0.0,47.0
2534.0,45874,2447.0,0.0,71.0
17930.0,45895,17136.0,87.0,496.0
110.0,45899,98.0,0.0,12.0
3269.0,45831,3222.0,10.0,13.0
29809.0,45239,17791.0,8754.0,383.0
14206.0,45246,7051.0,4374.0,1973.0
11161.0,45305,10123.0,480.0,207.0
270.0,45310,261.0,0.0,9.0
41029.0,45324,32943.0,3343.0,1388.0
1458.0,45146,1424.0,0.0,4.0
371.0,45155,362.0,0.0,0.0
10315.0,45157,9740.0,37.0,333.0
191.0,45172,189.0,0.0,0.0
2429.0,45203,463.0,1839.0,18.0
13090.0,45229,2223.0,10349.0,40.0
22625.0,45242,17646.0,1212.0,1009.0
22544.0,45247,20485.0,967.0,323.0
330.0,45307,314.0,4.0,0.0
108.0,45316,89.0,2.0,14.0
564.0,45328,556.0,0.0,0.0
6781.0,45335,6704.0,44.0,11.0
212.0,45351,212.0,0.0,0.0
4907.0,45368,4661.0,46.0,124.0
15280.0,45377,14036.0,627.0,119.0
